feature,importance
pump_storage_pumping,0.18091348
embedded_solar_capacity,0.1671437
settlement_period,0.16385084
is_weekend,0.11769834
month,0.08208717
dayofweek,0.06751253
week,0.061617877
embedded_wind_capacity,0.05727955
embedded_solar_generation,0.03383098
non_bm_stor,0.017197419
britned_flow,0.0148620345
year,0.011360142
embedded_wind_generation,0.006835921
nemo_flow,0.0048104716
day,0.0040941923
ifa_flow,0.0033295928
moyle_flow,0.003123902
east_west_flow,0.002451789
greenlink_flow,0.0
viking_flow,0.0
eleclink_flow,0.0
ifa2_flow,0.0
scottish_transfer,0.0
nsl_flow,0.0
