feature,importance
pump_storage_pumping,0.16228870286540373
hour,0.13773308331362782
settlement_period,0.13066267804018625
week,0.08681535888136833
embedded_solar_capacity,0.07293156469112638
month,0.06699288085098459
embedded_wind_capacity,0.056346557476139356
year,0.056181568666077784
quarter,0.05157316348788881
dayofweek,0.03866204795004064
is_weekend,0.03512402544293072
east_west_flow,0.023782915247680187
britned_flow,0.020530243574766873
embedded_solar_generation,0.017897238290964908
moyle_flow,0.011099231374246794
ifa_flow,0.010878298474281362
embedded_wind_generation,0.010018210616898036
day,0.00493354993945577
nemo_flow,0.0033597526133591292
non_bm_stor,0.0021889282025726172
nsl_flow,0.0
eleclink_flow,0.0
viking_flow,0.0
greenlink_flow,0.0
ifa2_flow,0.0
scottish_transfer,0.0
